,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
2generals(1),0.014847993850708008,-5.5,2,4,0.015355110168457031,-5.5,2,4
2generals(2),0.0833139419555664,-8.83804347826087,2,6,0.08177399635314941,-8.83804347826087,2,6
2generals(3),0.1513049602508545,-10.96590489130435,2,6,0.14131593704223633,-10.96590489130435,2,6
2generals(4),0.2896127700805664,-12.504550061141304,2,6,0.6468610763549805,-12.504550061141304,2,6
2generals(5),0.33255791664123535,-13.762984360003395,2,5,0.47512197494506836,-13.762984360003395,2,5
2generals(6),0.38121771812438965,-14.88788162756288,2,6,0.3607609272003174,-14.88788162756288,2,6
2generals(7),0.45086216926574707,-15.948658129688742,2,6,0.479597806930542,-15.948658129688742,2,6
2generals(8),0.557499885559082,-16.978404268847214,2,6,0.5288650989532471,-16.978404268847214,2,6
2generals(9),0.7568807601928711,-17.993031409125773,2,6,0.7060840129852295,-17.993031409125773,2,6
2generals(10),0.8911178112030029,-19.00025087031665,2,6,0.6861140727996826,-19.00025087031665,2,6
