,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
relay4(1),0.044231414794921875,-50.0,2,0.07608675956726074,-50.0,2
relay4(2),0.21910381317138672,-100.0,2,0.5109884738922119,-100.0,2
relay4(3),0.9719209671020508,-150.0,2,1.9660084247589111,-150.0,2
relay4(4),2.8943898677825928,-200.0,2,5.598821401596069,-200.0,2
relay4(5),7.82148551940918,-250.0,2,16.6064715385437,-250.0,2
relay4(6),19.151508331298828,-300.0,2,61.80468249320984,-300.0,2
relay4(7),37.94685912132263,-350.0,2,67.43340301513672,-350.0,2
relay4(8),66.24669671058655,-400.0,2,121.50614809989929,-400.0,2
relay4(9),94.54602384567261,-450.0,2,168.26788067817688,-450.0,2
relay4(10),132.28424215316772,-500.0,2,215.5042335987091,-500.0,2
